"filename", "language", "Markdown", "XML", "HTML", "JSON", "Java", "YAML", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\java\gr\det\spinnovators\web\YearComparisonWebDisplay.java", "Java", 0, 0, 0, 0, 179, 0, 0, 14, 13, 206
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\env_budget_data.json", "JSON", 0, 0, 0, 382, 0, 0, 0, 0, 1, 383
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\env_budget_translations.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 26, 2, 4, 32
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\esg_mappings.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 8, 79
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\change-budget.html", "HTML", 0, 0, 118, 0, 0, 0, 0, 0, 1, 119
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\comparison.html", "HTML", 0, 0, 65, 0, 0, 0, 0, 1, 2, 68
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\employee_budget.html", "HTML", 0, 0, 184, 0, 0, 0, 0, 0, 21, 205
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\employee_statebudget.html", "HTML", 0, 0, 185, 0, 0, 0, 0, 0, 22, 207
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\esg.html", "HTML", 0, 0, 108, 0, 0, 0, 0, 1, 1, 110
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\login.html", "HTML", 0, 0, 232, 0, 0, 0, 0, 1, 29, 262
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\minister_budget.html", "HTML", 0, 0, 190, 0, 0, 0, 0, 0, 20, 210
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\minister_statebudget.html", "HTML", 0, 0, 178, 0, 0, 0, 0, 0, 24, 202
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\main\resources\frontend\year-comparison.html", "HTML", 0, 0, 65, 0, 0, 0, 0, 1, 2, 68
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\OpenBudgetApplicationTest.java", "Java", 0, 0, 0, 0, 42, 0, 0, 2, 12, 56
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\authentication\FirstLoginTest.java", "Java", 0, 0, 0, 0, 121, 0, 0, 47, 41, 209
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\data\MinistryDataInputTest.java", "Java", 0, 0, 0, 0, 61, 0, 0, 0, 20, 81
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\editor\EnvBudgetEditorTest.java", "Java", 0, 0, 0, 0, 85, 0, 0, 41, 31, 157
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EnvBudgetDataTest.java", "Java", 0, 0, 0, 0, 44, 0, 0, 11, 22, 77
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EnvEntryTest.java", "Java", 0, 0, 0, 0, 27, 0, 0, 4, 16, 47
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EnvSectorTest.java", "Java", 0, 0, 0, 0, 47, 0, 0, 4, 18, 69
